simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0831366	18999	274.461
40	1166	29	0	109.688	4.02446e-05	7.30081
80	1166	0	0	90.7587	8.57555e-14	0.029912
120	1166	0	0	91.5109	1.82733e-22	0.000122552
160	1166	0	0	91.6214	3.89378e-31	5.02105e-07
200	1166	0	0	91.6856	8.2971e-40	2.05716e-09
240	1166	0	0	91.5821	1.76799e-48	8.42837e-12
280	1166	0	0	90.6384	3.76735e-57	3.45317e-14
320	1166	0	0	91.2211	8.02769e-66	1.41479e-16
360	1166	0	0	90.6921	1.71059e-74	5.79651e-19
400	1166	0	0	90.4581	3.64502e-83	2.37488e-21
440	1166	0	0	90.4166	7.76702e-92	9.73007e-24
480	1166	0	0	100.949	1.65504e-100	438.12
520	1166	0	0	99.3732	3.52666e-109	3.68099
560	1166	0	0	89.7723	7.51483e-118	0.0150813
600	1166	0	0	91.1907	1.6013e-126	6.17894e-05
640	1166	0	0	91.8156	3.41215e-135	2.53156e-07
680	1166	0	0	91.7722	7.27082e-144	1.0372e-09
720	1166	0	0	91.8651	1.54931e-152	4.24949e-12
760	1166	0	0	91.8682	3.30136e-161	1.74105e-14
800	1166	0	0	91.8659	7.03473e-170	7.13323e-17
840	1166	0	0	91.8036	1.499e-178	2.92254e-19
880	1166	0	0	91.6659	3.19416e-187	1.19739e-21
920	1166	0	0	91.7315	6.80631e-196	4.9058e-24
960	1166	0	0	106.796	1.45033e-204	449.402
1000	1166	0	0	90.2143	3.09045e-213	1.8515
1040	1166	0	0	91.4693	6.58531e-222	0.00758575
1080	1166	0	0	91.2646	1.40324e-230	3.10794e-05
1120	1166	0	0	91.4315	2.9901e-239	1.27335e-07
1160	1166	0	0	91.4127	6.37148e-248	5.21702e-10
1200	1166	0	0	89.7143	1.35767e-256	2.13745e-12
1240	1166	0	0	91.7062	2.89301e-265	8.75732e-15
1280	1166	0	0	91.2765	6.16459e-274	3.58794e-17
1320	1166	0	0	91.6574	1.31359e-282	1.47001e-19
1360	1166	0	0	91.7738	2.79907e-291	6.02274e-22
1400	1166	0	0	90.8523	5.96443e-300	2.46757e-24
1440	1166	0	0	105.675	0	227.305
1440.02	1166	0	0	0.142622	0	226.681
