Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
1000;0;-52.1391;-6.71498;-90.1595;9.14205;3200.52;5.26627;0;0;5.00059e-50;0.01;0;3.12638;102;0;-1-1;-1
1000;1;-38.2659;-31.869;-85.1625;10.6925;5120.59;6.1539;0;0;5.00059e-50;0.01;0;3.99958;102;0;-1-1;-1
1000;2;-37.4722;-15.1709;-91.9319;9.18587;3246.76;5.27869;0;0;5.00059e-50;0.01;0;3.37685;102;0;-1-1;-1
1000;3;-38.1681;0.165656;-85.0839;9.64405;3757.22;5.55003;0;0;5.00059e-50;0.01;0;5.96695;102;0;-1-1;-1
1000;4;-40.5177;18.6042;-87.4271;10.9091;5438.22;6.27679;0;0;5.00059e-50;0.01;0;4.09736;102;0;-1-1;-1
1000;5;-22.8917;-43.8628;-84.4851;10.0416;4241.24;5.77496;0;0;5.00059e-50;0.01;0;4.61757;102;0;-1-1;-1
1000;6;-21.1957;-25.9347;-86.2535;9.50177;3593.37;5.46874;0;0;5.00059e-50;0.01;0;5.0113;102;0;-1-1;-1
1000;7;-23.209;-8.9608;-85.9057;9.39424;3472.75;5.41215;0;0;5.00059e-50;0.01;0;5.06827;102;0;-1-1;-1
1000;8;-24.5828;10.0522;-88.8417;9.72743;3855.52;5.60306;0;0;5.00059e-50;0.01;0;4.80548;102;0;-1-1;-1
1000;9;-24.1692;26.9078;-87.9;9.71086;3835.85;5.58618;0;0;5.00059e-50;0.01;0;4.07568;102;0;-1-1;-1
1000;10;-7.45132;-54.4851;-87.4037;11.1841;5859.97;6.43172;0;0;5.00059e-50;0.01;0;3.49518;102;0;-1-1;-1
1000;11;-7.24606;-35.9792;-87.1591;9.99925;4187.85;5.75735;0;0;5.00059e-50;0.01;0;3.79994;102;0;-1-1;-1
1000;12;-7.61995;-15.7132;-87.0313;9.59851;3704.25;5.52443;0;0;5.00059e-50;0.01;0;3.90852;102;0;-1-1;-1
1000;13;-9.71677;0.683354;-93.9216;11.0053;5583.35;6.34044;0;0;5.00059e-50;0.01;0;3.63281;102;0;-1-1;-1
1000;14;-8.08189;18.514;-87.4806;10.9956;5568.58;6.33566;0;0;5.00059e-50;0.01;0;5.13197;102;0;-1-1;-1
1000;15;-10.2621;37.7835;-87.5785;10.4684;4805.38;6.03346;0;0;5.00059e-50;0.01;0;3.70102;102;0;-1-1;-1
1000;16;10.9162;-45.1917;-88.046;10.9356;5477.96;6.29821;0;0;5.00059e-50;0.01;0;3.67298;102;0;-1-1;-1
1000;17;13.5346;-25.7416;-88.7406;10.8525;5354.05;6.24613;0;0;5.00059e-50;0.01;0;4.09372;102;0;-1-1;-1
1000;18;14.5856;-7.60762;-86.4548;9.47422;3562.2;5.46079;0;0;5.00059e-50;0.01;0;4.32415;102;0;-1-1;-1
1000;19;14.7144;12.9562;-96.4567;9.35419;3428.53;5.38636;0;0;5.00059e-50;0.01;0;3.08576;102;0;-1-1;-1
1000;20;16.0967;29.7156;-93.038;9.52188;3616.24;5.48636;0;0;5.00059e-50;0.01;0;4.66883;102;0;-1-1;-1
1000;21;6.17845;45.2248;-92.8126;11.0666;5677.09;6.3615;0;0;5.00059e-50;0.01;0;3.53096;102;0;-1-1;-1
1000;22;26.6957;-54.6506;-86.232;10.1963;4440.35;5.87241;0;0;5.00059e-50;0.01;0;4.33444;102;0;-1-1;-1
1000;23;27.17;-38.2051;-95.8651;10.9662;5524.05;6.31765;0;0;5.00059e-50;0.01;0;2.96638;102;0;-1-1;-1
1000;24;28.0157;-17.1761;-84.6932;9.14563;3204.28;5.26539;0;0;5.00059e-50;0.01;0;5.13195;102;0;-1-1;-1
1000;25;27.211;2.73345;-91.653;9.25454;3320.12;5.32387;0;0;5.00059e-50;0.01;0;4.21117;102;0;-1-1;-1
1000;26;29.3562;19.4898;-92.1112;9.65114;3765.52;5.55362;0;0;5.00059e-50;0.01;0;5.17956;102;0;-1-1;-1
1000;27;29.7522;41.2377;-91.9967;10.5666;4941.85;6.08821;0;0;5.00059e-50;0.01;0;3.69135;102;0;-1-1;-1
1000;28;43.1044;-45.4356;-87.8671;10.8261;5315.08;6.2407;0;0;5.00059e-50;0.01;0;3.57023;102;0;-1-1;-1
1000;29;39.6843;-27.6209;-87.8688;9.20655;3268.73;5.3009;0;0;5.00059e-50;0.01;0;4.26853;102;0;-1-1;-1
1000;30;40.143;-10.1344;-95.274;11.0467;5646.58;6.37593;0;0;5.00059e-50;0.01;0;2.22835;102;0;-1-1;-1
1000;31;43.7228;9.13017;-96.0179;11.0291;5619.64;6.35412;0;0;5.00059e-50;0.01;0;2.3403;102;0;-1-1;-1
1000;32;44.2929;29.2328;-95.7494;10.8876;5406.11;6.27061;0;0;5.00059e-50;0.01;0;2.38366;102;0;-1-1;-1
1000;33;-75.7852;-11.35;-72.3519;10.2383;4495.45;5.90734;0;0;5.00059e-50;0.01;0;3.10354;102;0;-1-1;-1
1000;34;-67.482;-40.1725;-73.6381;10.8261;5314.96;6.23768;0;0;5.00059e-50;0.01;0;1.82166;102;0;-1-1;-1
1000;35;-61.8725;-21.9929;-69.7414;10.0116;4203.44;5.75766;0;0;5.00059e-50;0.01;0;5.44333;102;0;-1-1;-1
1000;36;-60.206;-5.23702;-75.5252;9.22092;3284.06;5.31517;0;0;5.00059e-50;0.01;0;4.83083;102;0;-1-1;-1
1000;37;-53.9301;7.79388;-83.1377;8.89966;2952.63;5.12326;0;0;6.25074e-50;0.01;0;4.22701;102;0;-1-1;-1
1000;38;-61.5584;29.374;-67.8696;9.06572;3121.01;5.21798;0;0;5.00059e-50;0.01;0;4.16104;102;0;-1-1;-1
1000;39;-65.0355;46.3277;-71.2271;10.2824;4553.85;5.92081;0;0;5.00059e-50;0.01;0;1.74999;102;0;-1-1;-1
1000;40;-44.5736;-51.3434;-69.2237;9.8479;4000.55;5.66619;0;0;5.00059e-50;0.01;0;3.28812;102;0;-1-1;-1
1000;41;-49.6009;-34.8206;-70.5171;10.1906;4432.85;5.86929;0;0;5.00059e-50;0.01;0;4.05902;102;0;-1-1;-1
1000;42;-45.485;-15.4275;-76.0805;11.2293;5931.32;6.46249;0;0;5.00059e-50;0.01;0;6.81351;102;0;-1-1;-1
1000;43;-46.2518;1.9028;-70.9681;9.19463;3256.05;5.29907;0;0;5.00059e-50;0.01;0;6.54897;102;0;-1-1;-1
1000;44;-48.7639;18.5683;-71.9706;9.22045;3283.55;5.30491;0;0;5.00059e-50;0.01;0;5.43319;102;0;-1-1;-1
1000;45;-48.4974;40.8198;-70.5368;10.2037;4450.02;5.88594;0;0;5.00059e-50;0.01;0;4.07913;102;0;-1-1;-1
1000;46;-45.9451;59.048;-70.0121;9.1947;3256.12;5.28898;0;0;5.00059e-50;0.01;0;4.26065;102;0;-1-1;-1
1000;47;-31.3749;-72.2325;-68.6384;9.45285;3538.16;5.43719;0;0;5.00059e-50;0.01;0;3.42856;102;0;-1-1;-1
1000;48;-31.8935;-40.2552;-71.3102;8.95287;3005.9;5.14397;0;0;6.25074e-50;0.01;0;5.72645;102;0;-1-1;-1
1000;49;-29.6041;-23.6948;-72.4044;9.51288;3605.99;5.47346;0;0;5.00059e-50;0.01;0;6.33873;102;0;-1-1;-1
